video_id,broadcast_id,class_id,owner_id,class_name,institution,title,auth_code,edit_auth_code,creation,modification,caption_key,thumb_key
00559954,00514281,0,16200227,,,The Founding and the Constitution,1061448128,474763417,1575684335,1579020923,514281_English.srt,Video-de3b7396-30ab-3479-9bf2-892ed185b591_original_0103.jpg
00559941,00514268,0,15753759,,,Geog 1303 - Latin America - River Basins,1811484824,1534007370,1575684073,1578615525,514268_English.srt,Video-7c874e1b-e633-356e-bc6d-42eec8d4ede7_original_0041.jpg
00559928,00514255,0,15753759,,,Geog 1303 - Latin America - Physical Environment Part 1,1557365054,1696764428,1575683127,1578615525,514255_English.srt,Video-ba4c36af-c2cf-3663-a656-0f4a75e0e1ad_original_0136.jpg
00559915,00514242,0,15753759,,,Geog 1303 - Eurasia - Physical Regions Part 1,386744092,956854688,1575682157,1578615525,514242_English.srt,Video-8527c4d8-acb2-304b-a1c0-70e8d6c46d1a_original_0036.jpg
00559902,00514229,77230,15469432,Welcome to YuJa ,lisd,One Lewisville ISD,217047405,1409056240,1575681665,1575923548,514229_English.srt,Video-388b8b54-fefe-4b7c-ac92-9eec6cbd57ca_processed_original_0004.jpg
00559962,00514289,0,16200227,,,GOVT 2305 Class Introduction - Spring 2019,1012258312,1745742329,1575684449,1579020923,514289_English.srt,Video-120af459-c459-317b-a551-c878655db4f3_original_0208.jpg
00559876,00514203,0,14856199,,,"My Event on Friday, December 6, 2019",575578446,1699121722,1575680964,1575680964,,unknown
00559949,00514276,0,16200227,,,Campaigns,1238534618,1498591889,1575684309,1579020923,514276_English.srt,Video-eb843b7e-4d98-320c-b3fb-0c0b4cb4f34c_original_0103.jpg
00559863,00514190,0,14217750,,,Bacteria That Do Not Stain_edited,931330583,1698720543,1575680591,1575902192,,9b258db3-c77f-4eeb-8469-25021329c76b_screen_capture_video_1575674507_display0_78514190-preview.jpg
00559923,00514250,0,1828570,,,"My Event on Friday, December 6, 2019",1930890637,1503386880,1575682917,1575682917,,unknown
00559850,00514177,0,15753759,,,Geog 1303 - SWANA - Migration,1482881745,1905019696,1575680241,1578615525,514177_English.srt,Video-164a0342-6941-344d-9643-ca35ce8fbb96_original_0032.jpg
00559910,00514237,0,15753759,,,Geog 1303 - South Asia - Green Revolution,1360890733,837797304,1575681893,1578615525,514237_English.srt,Video-c54bccd4-4cb7-3436-939f-ce459f59e436_original_0024.jpg
00559837,00514164,0,15753759,,,Geog 1303 - The Caribbean - Hurricanes,357161267,1068153016,1575679307,1578615525,514164_English.srt,Video-324c44f2-4330-3af5-a8c9-510173503d7b_original_0213.jpg
00559897,00514224,0,9344228,,,QuickMarks Creation and Editing v1,1983932152,966466025,1575681637,1575683209,514224_English.srt,00214553-f29f-4b5d-aa94-0aea26a6ec64_screen_capture_video_1575681547_display0.mp4-preview.jpg
00559824,00514151,0,10930031,,,Galindo El Corrido de Paso Lajitas,1400489473,1042631845,1575679137,1575679969,559824_video_English.srt,unknown
00559884,00514211,0,15753759,,,Geog 1303 - South Asia - Climate,1362785229,1356334759,1575680980,1578615526,514211_English.srt,Video-b53dd507-fcc2-34a8-80fd-c16fc9f5efae_original_0089.jpg
00559811,00514138,0,10722883,,,"My Event on Friday, December 6, 2019",1226612199,1195520708,1575678938,1575678938,,unknown
00559798,00514126,0,10930031,,,Billy Murray Four Leaf Clover,1816809804,45617090,1575678821,1575679479,559798_video_English.srt,unknown
00559871,00514198,0,15753759,,,Geog 1303 - SSA - Colonization,1677446037,754637888,1575680751,1578615525,514198_English.srt,Video-3fb17bdf-020b-37db-a95d-7e75cf6c22c3_original_0178.jpg
00559858,00514185,0,15753759,,,Geog 1303 - SWANA - Religion Part 2,1031798370,579972476,1575680525,1578615525,514185_English.srt,Video-8e586947-93e9-3ea5-af95-139a368fed2f_original_0196.jpg
00559785,00514112,0,15753759,,,Geog 1303 - Oceania - Physical Environment Part 1,603780691,1835387183,1575678695,1578615525,514112_English.srt,Video-794ff8a1-196e-3be9-903e-e9c37d15d04c_original_0001.jpg
00559845,00514172,0,15753759,,,Geog 1303 - SWANA - Climate,557412107,345687822,1575679803,1578615525,514172_English.srt,Video-6ee96913-d704-33cb-a37b-de72c40f7bb7_original_0001.jpg
