video_id,broadcast_id,class_id,owner_id,class_name,institution,title,auth_code,edit_auth_code,creation,modification,caption_key,thumb_key
04499974,04324136,0,117680210,,,Lab_05e_Heli-Coil_AD12-102_02_,1987983453,995604660,1646091482,1647463591,4324136_English.srt,Video-a590294f-3ca0-3d36-9054-6908efb37e6d_original_0008.jpg
04499961,04324123,0,117680210,,,Part 2_Introduction to Preventive Maintenance_DT-213,114194932,355982310,1646091478,1665178627,4324123_English.srt,Video-fba089d6-57ea-39b2-b84f-6646061ae0da_original_0154.jpg
04499948,04324110,0,117680210,,,Lab 15d_Single Engine Mounting_MARN-003,827239087,1093921186,1646091472,1646231503,,Video-3c08e039-aa9e-3b08-a0ea-ae5af7ceeb1b_original_0016.jpg
04499922,04324084,0,117680210,,,Lab01j_HD PMI Report A-Level Insp_DT12-213_01,1241705078,118116879,1646091461,1665178297,4324084_English.srt,Video-94a75110-755e-3074-b293-42ba61d0be18_original_0003.jpg
04499909,04324071,0,117680210,,,Lab01i_HD PMI Report A-Level Insp_DT12-213_01,1706661910,638066303,1646091456,1665178404,4324071_English.srt,Video-10dacd52-16f2-31fb-9f80-5fa0554ea8e6_original_0006.jpg
04499896,04324058,0,117680210,,,Lab 08m_Trailer Wheel Bearing Service_MARN-003,500133807,116708927,1646091450,1646231509,,Video-f17e4f6b-bfb5-34f7-b16c-2b95b6e47671_original_0017.jpg
04499883,04324045,0,117680210,,,Part 1_Engine Emission Control Systems_DT-212,1579728535,1455777553,1646091445,1665420186,,Video-b0fa4732-ae4a-3066-a890-68ead6dcee03_original_0148.jpg
04499870,04324032,0,117680210,,,Part 3_Fuel Injection Management Systems_DT-212,1469136080,2008113285,1646091442,1665762870,4324032_English.srt,Video-065a155c-27d9-3630-b3e9-07311a5a9818_original_0001.jpg
04499857,04324019,0,117680210,,,Lab 03b_Battery Test_MARN-003,1754976464,1489091820,1646091435,1646231510,,Video-b84526a4-2586-3143-94da-d1f5a2646020_original_0046.jpg
04499844,04324006,0,117680210,,,Lab 11b_Console-Gauge Installation_MARN-003,1182835345,1571428622,1646091430,1646231509,,Video-841a6d73-b379-3305-aac3-f9f22c94a084_original_0005.jpg
